feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:105323816	LOC105323816	NCK-interacting protein with SH3 domain	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117691427	LOC117691427	acetyl-CoA carboxylase-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335187	LOC105335187	guanine nucleotide-binding protein G(q) subunit alpha	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275742	LOC136275742	uncharacterized LOC136275742	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336566	LOC105336566	uncharacterized LOC105336566	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105347425	LOC105347425	tRNA:m(4)X modification enzyme TRM13 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345528	LOC105345528	uncharacterized LOC105345528	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339885	LOC105339885	uncharacterized LOC105339885	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327605	LOC105327605	protein SSUH2 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339053	LOC105339053	uncharacterized LOC105339053	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336098	LOC105336098	toll-like receptor 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105334514	LOC105334514	steroid 17-alpha-hydroxylase/17,20 lyase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321320	LOC105321320	protein argonaute-2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105324938	LOC105324938	uncharacterized LOC105324938	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681553	LOC117681553	BMP-binding endothelial regulator protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328795	LOC105328795	heat shock protein hsp-16.2	protein_coding	GCF_963853765.1-RS_2024_06
